프로젝트 명,엔드포인트 URL,HTTP,엔드포인트 클래스,엔드포인트 메소드,엔드포인트 정의 위치,endpoint_id
FinUp.StockData.Price.Api,api/alarm/alarm-list,GET,RadarAlarmController,GetServiceList,FinUp.StockData.Price.Api/Controllers/RadarAlarmController.cs:29,311
FinUp.StockData.Price.Api,api/chart/lw/theme,GET,ChartController,GetThemeChartAsync,FinUp.StockData.Price.Api/Controllers/ChartController.cs:165,315
FinUp.StockData.Price.Api,api/chart/nvd3/minutes/{code}/{minutes},GET,PriceController,GetCandleAllChart,FinUp.StockData.Price.Api/Controllers/PriceController.cs:163,316
FinUp.StockData.Price.Api,api/chart/stockDeposit,GET,ChartController,StockDepositTrend,FinUp.StockData.Price.Api/Controllers/ChartController.cs:145,318
FinUp.StockData.Price.Api,api/chart/themeday,GET,ChartController,ThemeDay,FinUp.StockData.Price.Api/Controllers/ChartController.cs:155,319
FinUp.StockData.Price.Api,api/data/currenthoga/{code},GET,DataController,GetCurrentHoga,FinUp.StockData.Price.Api/Controllers/DataController.cs:101,321
FinUp.StockData.Price.Api,api/data/hoga/last/{code}/{day}/{time}/{count},GET,DataController,GetLastHoga,FinUp.StockData.Price.Api/Controllers/DataController.cs:31,324
FinUp.StockData.Price.Api,api/data/hoga/{code}/{day}/{start}/{end},GET,DataController,GetHoga,FinUp.StockData.Price.Api/Controllers/DataController.cs:87,325
FinUp.StockData.Price.Api,api/data/marketopen/{isRealTime},GET,DataController,IsTodayMarketOpen,FinUp.StockData.Price.Api/Controllers/DataController.cs:244,326
FinUp.StockData.Price.Api,api/data/price/last/{code}/{day}/{time}/{count},GET,DataController,GetLastPrice,FinUp.StockData.Price.Api/Controllers/DataController.cs:74,327
FinUp.StockData.Price.Api,api/data/price/{code}/{day}/{start}/{end},GET,DataController,GetPrice,FinUp.StockData.Price.Api/Controllers/DataController.cs:115,328
FinUp.StockData.Price.Api,api/data/trader/last/{code}/{day}/{time}/{count},GET,DataController,GetLastTrader,FinUp.StockData.Price.Api/Controllers/DataController.cs:52,330
FinUp.StockData.Price.Api,api/data/trader/{code}/{day}/{start}/{end},GET,DataController,GetTrader,FinUp.StockData.Price.Api/Controllers/DataController.cs:129,331
FinUp.StockData.Price.Api,api/data/traderday/{code}/{startday}/{endday},GET,DataController,GetTraderDay,FinUp.StockData.Price.Api/Controllers/DataController.cs:171,332
FinUp.StockData.Price.Api,api/data/traderlast/{code}/{day}/{end},GET,DataController,GetTraderLast,FinUp.StockData.Price.Api/Controllers/DataController.cs:143,333
FinUp.StockData.Price.Api,api/data/vi/{code}/{date},GET,DataController,GetStockVIs,FinUp.StockData.Price.Api/Controllers/DataController.cs:217,334
FinUp.StockData.Price.Api,api/keyword/news/summary-search,POST,KeywordController,GetThemeNewsSummarySearch,FinUp.StockData.Price.Api/Controllers/KeywordController.cs:371,339
FinUp.StockData.Price.Api,api/keyword/stock/golden-signal-form/{stockCode},GET,KeywordController,GetGoldenSignalStockData,FinUp.StockData.Price.Api/Controllers/KeywordController.cs:163,340
FinUp.StockData.Price.Api,api/keyword/stock/holder/{stockCode},GET,KeywordController,GetStockHolder,FinUp.StockData.Price.Api/Controllers/KeywordController.cs:189,341
FinUp.StockData.Price.Api,api/keyword/stock/industry/stock/{stockCode},GET,KeywordController,GetStockRelationIndustry,FinUp.StockData.Price.Api/Controllers/KeywordController.cs:262,342
FinUp.StockData.Price.Api,api/keyword/stock/industry/{industryidx}/{stockcode},GET,KeywordController,GetIndustryRelationStockAsync,FinUp.StockData.Price.Api/Controllers/KeywordController.cs:85,343
FinUp.StockData.Price.Api,api/keyword/stock/ranking/{type},GET,KeywordController,GetStockRanking,FinUp.StockData.Price.Api/Controllers/KeywordController.cs:214,344
FinUp.StockData.Price.Api,api/keyword/stock/theme/{stockCode},GET,KeywordController,GetStockRelationTheme,FinUp.StockData.Price.Api/Controllers/KeywordController.cs:238,345
FinUp.StockData.Price.Api,api/keyword/theme/diff/{keywordidx},GET,KeywordController,GetThemeDiff,FinUp.StockData.Price.Api/Controllers/KeywordController.cs:287,346
FinUp.StockData.Price.Api,api/keyword/theme/similarity/{keywordidx},GET,KeywordController,GetKeywordSimilarityTheme,FinUp.StockData.Price.Api/Controllers/KeywordController.cs:137,347
FinUp.StockData.Price.Api,api/keyword/theme/stock/{keywordidx},GET,KeywordController,GetThemeRelationStock,FinUp.StockData.Price.Api/Controllers/KeywordController.cs:342,348
FinUp.StockData.Price.Api,api/news-contents/board,GET,NewsContentsController,UploadNewsContentsBoard,FinUp.StockData.Price.Api/Controllers/NewsContentsController.cs:36,351
FinUp.StockData.Price.Api,api/news/news_market_issue/{type},GET,RadarAlarmController,GetServiceList,FinUp.StockData.Price.Api/Controllers/RadarAlarmController.cs:55,352
FinUp.StockData.Price.Api,api/prevday/{date}/{code},GET,PriceController,GetPrevDay,FinUp.StockData.Price.Api/Controllers/PriceController.cs:358,356
FinUp.StockData.Price.Api,api/price/highlow/{code}/{from},GET,PriceController,GetHighLow,FinUp.StockData.Price.Api/Controllers/PriceController.cs:180,358
FinUp.StockData.Price.Api,api/price/highlowlist,POST,PriceController,GetHighLowList,FinUp.StockData.Price.Api/Controllers/PriceController.cs:259,359
FinUp.StockData.Price.Api,api/price/highlowvalue/{code}/{from},GET,PriceController,GetHighLowValue,FinUp.StockData.Price.Api/Controllers/PriceController.cs:218,360
FinUp.StockData.Price.Api,api/price/minutes/{code}/{from}/{to},GET,PriceController,GetMinutes,FinUp.StockData.Price.Api/Controllers/PriceController.cs:510,362
FinUp.StockData.Price.Api,api/price/tradesummary/{code}/{from}/{to},GET,PriceController,GetPriceSummary,FinUp.StockData.Price.Api/Controllers/PriceController.cs:500,365
FinUp.StockData.Price.Api,api/pricelist,POST,PriceController,GetPriceList,FinUp.StockData.Price.Api/Controllers/PriceController.cs:64,367
FinUp.StockData.Price.Api,api/priceliststock/{code},GET,PriceController,GetPriceListStock,FinUp.StockData.Price.Api/Controllers/PriceController.cs:388,368
FinUp.StockData.Price.Api,api/pricemonitor/chart/price,POST,PriceMonitorController,GetStockPriceChart,FinUp.StockData.Price.Api/Controllers/PriceMonitorController.cs:191,370
FinUp.StockData.Price.Api,api/pricemonitor/paging,POST,PriceMonitorController,GetPriceMonitorPaging,FinUp.StockData.Price.Api/Controllers/PriceMonitorController.cs:139,372
FinUp.StockData.Price.Api,api/pricemonitor/preopen,GET,PriceMonitorController,IsPreMarketOpen,FinUp.StockData.Price.Api/Controllers/PriceMonitorController.cs:282,373
FinUp.StockData.Price.Api,api/pricemonitor/stock,POST,PriceMonitorController,GetPriceMonitorStockPaging,FinUp.StockData.Price.Api/Controllers/PriceMonitorController.cs:111,375
FinUp.StockData.Price.Api,api/pricemonitor/stock,GET,PriceMonitorController,GetStock,FinUp.StockData.Price.Api/Controllers/PriceMonitorController.cs:37,376
FinUp.StockData.Price.Api,api/pricemonitor/stock/set,GET,PriceMonitorController,SetStock,FinUp.StockData.Price.Api/Controllers/PriceMonitorController.cs:23,377
FinUp.StockData.Price.Api,api/stock/calendar,GET,KeywordController,GetStockOpenDateAsync,FinUp.StockData.Price.Api/Controllers/KeywordController.cs:60,379
FinUp.StockData.Price.Api,api/themelog/keyword/Diff,POST,ThemeLogController,GetThemelogKeywordDiffList,FinUp.StockData.Price.Api/Controllers/ThemeLogController.cs:157,383
FinUp.StockData.Price.Api,api/themelog/keyword/rank,GET,ThemeLogController,GetThemelogKeywordRank,FinUp.StockData.Price.Api/Controllers/ThemeLogController.cs:125,384
FinUp.StockData.Price.Api,api/themelog/keyword/relation-stocks,POST,ThemeLogController,GetThemeLogRelationStocks,FinUp.StockData.Price.Api/Controllers/ThemeLogController.cs:141,385
FinUp.StockData.Price.Api,api/ThemeLog/play,POST,ThemeLogController,GetThemePlay,FinUp.StockData.Price.Api/Controllers/ThemeLogController.cs:91,386
FinUp.StockData.Price.Api,api/ThemeLog/play/info,POST,ThemeLogController,GetThemePlayInfo,FinUp.StockData.Price.Api/Controllers/ThemeLogController.cs:80,387
FinUp.StockData.Price.Api,api/ThemeRelationStock,POST,ThemeLogController,GetThemeRelationStock,FinUp.StockData.Price.Api/Controllers/ThemeLogController.cs:41,389
FinUp.StockData.Price.Api,api/tv/config,GET,TradingViewController,GetConfig,FinUp.StockData.Price.Api/Controllers/TradingViewController.cs:21,390
FinUp.StockData.Price.Api,api/tv/symbol_info,GET,TradingViewController,GetSymbolInfo,FinUp.StockData.Price.Api/Controllers/TradingViewController.cs:45,393
FinUp.StockData.Price.Api,api/tv/symbols,GET,TradingViewController,GetSymbols,FinUp.StockData.Price.Api/Controllers/TradingViewController.cs:57,394
FinUp.StockData.Price.Api,api/tv/time,GET,TradingViewController,GetTime,FinUp.StockData.Price.Api/Controllers/TradingViewController.cs:105,395
FinUp.StockData.Price.Api,api/v2/chart/lw/theme,GET,ChartController,GetThemeChartAsync_v2,FinUp.StockData.Price.Api/Controllers/ChartController.cs:238,396
FinUp.StockData.Price.Api,api/v2/tv/marks,GET,TradingViewController,GetMarks,FinUp.StockData.Price.Api/Controllers/TradingViewController.cs:115,398
FinUp.StockData.Price.Api,api/v2/tv/ticker/history,GET,TradingViewTickerController,GetHistoryV2,FinUp.StockData.Price.Api/Controllers/TradingViewTickerController.cs:32,399
FinUp.StockData.Price.Api,api/v3/tv/history,GET,TradingViewController,GetHistoryV3,FinUp.StockData.Price.Api/Controllers/TradingViewController.cs:239,400
FinUp.StockData.Price.Api,api/v3/tv/marks,GET,TradingViewController,GetMarks,FinUp.StockData.Price.Api/Controllers/TradingViewController.cs:115,401
FinUp.StockData.Price.Api.Channel,api/price/connect,GET,PriceController,ConnectByGet,FinUp.StockData.Price.Api.Channel/Controllers/PriceController.cs:23,403
FinUp.StockData.Price.Api.RealTime,api/Cache/price,GET,CacheController,GetAll,FinUp.StockData.Price.Api.RealTime/Controllers/Legacy/CacheController.cs:31,404
FinUp.StockData.Price.Api.RealTime,api/Cache/price/schedule,GET,CacheController,SchedulePrice,FinUp.StockData.Price.Api.RealTime/Controllers/Legacy/CacheController.cs:44,405
FinUp.StockData.Price.Api.RealTime,api/Cache/price/{code},GET,CacheController,Get,FinUp.StockData.Price.Api.RealTime/Controllers/Legacy/CacheController.cs:35,406
FinUp.StockData.Price.Api.RealTime,api/Policy/reset,GET,PolicyController,Reset,FinUp.StockData.Price.Api.RealTime/Controllers/Legacy/PolicyController.cs:27,407
FinUp.StockData.Price.Api.RealTime,api/Policy/{path?},GET,PolicyController,Get,FinUp.StockData.Price.Api.RealTime/Controllers/Legacy/PolicyController.cs:23,408
FinUp.StockData.Price.Api.RealTime,api/Scope,GET,ScopeController,GetAll,FinUp.StockData.Price.Api.RealTime/Controllers/Legacy/ScopeController.cs:34,409
FinUp.StockData.Price.Api.RealTime,api/Scope/count,GET,ScopeController,GetScopeCount,FinUp.StockData.Price.Api.RealTime/Controllers/Legacy/ScopeController.cs:46,410
FinUp.StockData.Price.Api.RealTime,api/Scope/count/interval,GET,ScopeController,GetScopeCountInterval,FinUp.StockData.Price.Api.RealTime/Controllers/Legacy/ScopeController.cs:50,411
FinUp.StockData.Price.Api.RealTime,api/Scope/count/realtime,GET,ScopeController,GetScopeCountRealtime,FinUp.StockData.Price.Api.RealTime/Controllers/Legacy/ScopeController.cs:54,412
FinUp.StockData.Price.Api.RealTime,api/Scope/id/{id},GET,ScopeController,GetScope,FinUp.StockData.Price.Api.RealTime/Controllers/Legacy/ScopeController.cs:38,413
FinUp.StockData.Price.Api.RealTime,api/Scope/ip/{ip},GET,ScopeController,GetScopeIP,FinUp.StockData.Price.Api.RealTime/Controllers/Legacy/ScopeController.cs:42,414
FinUp.StockData.Price.Api.RealTime,api/Sse,GET,SseController,Get,FinUp.StockData.Price.Api.RealTime/Controllers/Legacy/SseController.cs:40,415
FinUp.StockData.Price.Api.RealTime,api/Sse/test/eventstream,GET,SseController,TestEventstream,FinUp.StockData.Price.Api.RealTime/Controllers/Legacy/SseController.cs:159,416
FinUp.StockData.Price.Api.RealTime,api/v1.0/Cache/price,GET,CacheController,GetAll,FinUp.StockData.Price.Api.RealTime/Controllers/v1_0/CacheController.cs:31,417
FinUp.StockData.Price.Api.RealTime,api/v1.0/Cache/price/schedule,GET,CacheController,SchedulePrice,FinUp.StockData.Price.Api.RealTime/Controllers/v1_0/CacheController.cs:65,418
FinUp.StockData.Price.Api.RealTime,api/v1.0/Cache/price/{code},GET,CacheController,Get,FinUp.StockData.Price.Api.RealTime/Controllers/v1_0/CacheController.cs:35,419
FinUp.StockData.Price.Api.RealTime,api/v1.0/Sse,GET,SseController,Get,FinUp.StockData.Price.Api.RealTime/Controllers/v1_0/SseController.cs:63,420
FinUp.StockData.Price.Api.RealTime,api/v1.0/Sse/price/{code},GET,SseController,Get,FinUp.StockData.Price.Api.RealTime/Controllers/v1_0/SseController.cs:221,421
